DialogName,LineIndex,ID,Text,ImagePath
Dialog1receive,0,Noah,门口又有信。,
Dialog1receive,1,Noah,……最近总是这样。,
Dialog1receive,2,Noah,我不知道是谁寄来的。,
Dialog1receive,3,Noah,但它们总会出现在这里。,
Dialog1receive,4,Noah,……先打开看看吧。,
Dialog10open,0,Noah,……,
Dialog10open,1,Noah,这是她的字。,
Dialog10open,2,Noah,这张纸……像是能被剪开。,
Dialog10close,0,Noah,我记得这张纸,
Dialog10cutall,1,Noah,那天晚上,
Dialog10cutall,2,Noah,她留下它就走了,
Dialog10cutall,3,Noah,我以为只是她的气话,
Dialog11open,0,Noah,……管理处？,
Dialog11close,0,Noah,原来别人也听见了。,
Dialog11close,1,Noah,那段时间……,
Dialog11close,2,Noah,我们总是在吵。,
Dialog12open,0,Noah,...不,
Dialog12open,1,Noah,别是这个,
Dialog12close,0,Noah,我还是不敢打开,
Dialog12close,1,Noah,那天晚上我甚至没有见到她,
Dialog12close,2,Noah,她一定还恨我吧,
Dialog13open,0,Noah,车票？,
Dialog13open,2,Noah,单程。,
Dialog13open,2,Noah,她原本打算离开。,
Dialog13open,3,Noah,……背后有字。,
Dialog13back,0,Noah,“Not…...I just…” ,
Dialog13back,1,Noah,……她想说什么？,
